BSI_Somatization,BSI_Obsession,BSI_Interpersonal_Sensitivity,BSI_Depression,BSI_Anxiety,BSI_Hostility,BSI_Phobic_Anxiety,BSI_Paranoid_Ideation,BSI_Psychoticism,BSI_Global
"r=0.11, p=0.198, q=0.325","r=-0.13, p=0.137, q=0.253","r=-0.08, p=0.370, q=0.499","r=-0.04, p=0.655, q=0.757","r=0.01, p=0.934, q=0.958","r=-0.04, p=0.661, q=0.757","r=0.10, p=0.260, q=0.394","r=0.07, p=0.433, q=0.571","r=0.02, p=0.845, q=0.907","r=0.01, p=0.929, q=0.958"
"r=0.08, p=0.370, q=0.499","r=-0.04, p=0.666, q=0.757","r=-0.00, p=0.959, q=0.960","r=0.01, p=0.894, q=0.946","r=-0.02, p=0.834, q=0.907","r=0.05, p=0.559, q=0.699","r=-0.07, p=0.453, q=0.591","r=0.04, p=0.647, q=0.757","r=0.00, p=0.960, q=0.960","r=0.00, p=0.958, q=0.960"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1,,,,,,,,,
-0.55,,,,,,,,,
1,,,,,,,,,
-0.08,,,,,,,,,
0.19,,,,,,,,,
1,,,,,,,,,
-0.19,,,,,,,,,
0.33,,,,,,,,,
0.19,,,,,,,,,
1,,,,,,,,,
-0.05,,,,,,,,,
0.1,,,,,,,,,
0.04,,,,,,,,,
0.07,,,,,,,,,
1,,,,,,,,,
-0.03,,,,,,,,,
0.12,,,,,,,,,
0.08,,,,,,,,,
0.1,,,,,,,,,
0.52,,,,,,,,,
1,,,,,,,,,
-0.14,,,,,,,,,
0.26,,,,,,,,,
0.08,,,,,,,,,
0.19,,,,,,,,,
0.27,,,,,,,,,
0.14,,,,,,,,,
1,,,,,,,,,
-0.24,,,,,,,,,
0.34,,,,,,,,,
0.08,,,,,,,,,
0.23,,,,,,,,,
0.22,,,,,,,,,
0.14,,,,,,,,,
0.61,,,,,,,,,
1,,,,,,,,,
-0.15,,,,,,,,,
0.25,,,,,,,,,
0.05,,,,,,,,,
0.12,,,,,,,,,
0.12,,,,,,,,,
0.01,,,,,,,,,
0.57,,,,,,,,,
0.52,,,,,,,,,
1,,,,,,,,,
0.18,,,,,,,,,
-0.16,,,,,,,,,
-0.01,,,,,,,,,
-0.03,,,,,,,,,
0.03,,,,,,,,,
0.06,,,,,,,,,
0.05,,,,,,,,,
-0.02,,,,,,,,,
-0.08,,,,,,,,,
1,,,,,,,,,
