,Start Date,End Date,Time Scheduled,Duration (in seconds),expiwellID,Participant ID,onTask,visImag,inSpeech,intent,struct,real,concAbs,import,relGoal,fullDev,oftMind,emotVal,tempOr,funct,functOth
32,04/27/2024 09:31AM,04/27/2024 09:34AM,04/27/2024 09:30AM - 04/27/2024 09:50AM,196.802,662c23eb984be5dc85b1f907,37,3.0,5.0,7.0,1.0,5.0,6.0,6.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,
33,04/27/2024 11:17AM,04/27/2024 11:19AM,04/27/2024 11:10AM - 04/27/2024 11:30AM,117.11,662c23eb984be5dc85b1f907,37,4.0,5.0,4.0,2.0,5.0,6.0,5.0,7.0,6.0,5.0,2.0,4.0,2.0,4.0,
34,04/27/2024 01:42PM,04/27/2024 01:44PM,04/27/2024 01:38PM - 04/27/2024 01:58PM,104.529,662c23eb984be5dc85b1f907,37,3.0,5.0,4.0,5.0,4.0,6.0,3.0,5.0,5.0,4.0,3.0,6.0,3.0,4.0,
35,04/27/2024 03:28PM,04/27/2024 03:36PM,04/27/2024 03:28PM - 04/27/2024 03:48PM,439.129,662c23eb984be5dc85b1f907,37,4.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,3.0,4.0,3.0,6.0,2.0,4.0,
36,04/27/2024 06:02PM,04/27/2024 06:04PM,04/27/2024 06:00PM - 04/27/2024 06:20PM,72.573,662c23eb984be5dc85b1f907,37,5.0,3.0,5.0,1.0,5.0,6.0,5.0,4.0,3.0,4.0,2.0,6.0,2.0,3.0,
37,04/28/2024 09:05AM,04/28/2024 09:06AM,04/28/2024 09:01AM - 04/28/2024 09:21AM,59.464,662c23eb984be5dc85b1f907,37,3.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,
38,04/28/2024 11:04AM,04/28/2024 11:05AM,04/28/2024 11:00AM - 04/28/2024 11:20AM,62.09,662c23eb984be5dc85b1f907,37,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,6.0,
39,04/28/2024 01:39PM,04/28/2024 01:40PM,04/28/2024 01:36PM - 04/28/2024 01:56PM,59.371,662c23eb984be5dc85b1f907,37,4.0,2.0,5.0,5.0,4.0,3.0,2.0,5.0,7.0,4.0,3.0,4.0,4.0,3.0,
41,04/28/2024 06:33PM,04/28/2024 06:35PM,04/28/2024 06:32PM - 04/28/2024 06:52PM,87.432,662c23eb984be5dc85b1f907,37,3.0,3.0,4.0,6.0,3.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,
44,04/29/2024 11:28AM,04/29/2024 11:29AM,04/29/2024 11:26AM - 04/29/2024 11:46AM,72.999,662c23eb984be5dc85b1f907,37,3.0,6.0,4.0,3.0,5.0,4.0,5.0,3.0,6.0,4.0,3.0,6.0,4.0,5.0,
45,04/29/2024 01:50PM,04/29/2024 01:52PM,04/29/2024 01:46PM - 04/29/2024 02:06PM,100.987,662c23eb984be5dc85b1f907,37,5.0,7.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,6.0,2.0,1.0,
47,04/29/2024 05:29PM,04/29/2024 05:31PM,04/29/2024 05:21PM - 04/29/2024 05:41PM,126.189,662c23eb984be5dc85b1f907,37,3.0,2.0,5.0,4.0,3.0,4.0,5.0,5.0,6.0,4.0,1.0,6.0,3.0,1.0,
48,04/29/2024 07:19PM,04/29/2024 07:21PM,04/29/2024 07:17PM - 04/29/2024 07:37PM,90.945,662c23eb984be5dc85b1f907,37,2.0,4.0,5.0,4.0,4.0,5.0,2.0,6.0,5.0,4.0,1.0,4.0,2.0,1.0,
50,04/30/2024 12:15PM,04/30/2024 12:15PM,04/30/2024 12:06PM - 04/30/2024 12:26PM,34.737,662c23eb984be5dc85b1f907,37,4.0,5.0,3.0,4.0,2.0,5.0,7.0,4.0,3.0,3.0,5.0,4.0,2.0,4.0,
51,04/30/2024 01:36PM,04/30/2024 01:37PM,04/30/2024 01:34PM - 04/30/2024 01:54PM,50.414,662c23eb984be5dc85b1f907,37,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,6.0,2.0,4.0,
52,04/30/2024 04:42PM,04/30/2024 04:43PM,04/30/2024 04:26PM - 04/30/2024 04:46PM,63.731,662c23eb984be5dc85b1f907,37,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,1.0,3.0,
53,04/30/2024 07:54PM,04/30/2024 07:55PM,04/30/2024 07:54PM - 04/30/2024 08:14PM,77.422,662c23eb984be5dc85b1f907,37,2.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,
54,05/01/2024 09:20AM,05/01/2024 09:21AM,05/01/2024 09:09AM - 05/01/2024 09:29AM,44.922,662c23eb984be5dc85b1f907,37,4.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,3.0,2.0,
56,05/01/2024 05:15PM,05/01/2024 05:16PM,05/01/2024 05:06PM - 05/01/2024 05:26PM,54.923,662c23eb984be5dc85b1f907,37,3.0,5.0,3.0,5.0,3.0,2.0,5.0,4.0,4.0,3.0,5.0,7.0,3.0,1.0,
57,05/01/2024 07:18PM,05/01/2024 07:21PM,05/01/2024 07:00PM - 05/01/2024 07:20PM,140.836,662c23eb984be5dc85b1f907,37,4.0,7.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,
58,05/02/2024 10:01AM,05/02/2024 10:01AM,05/02/2024 09:53AM - 05/02/2024 10:13AM,52.335,662c23eb984be5dc85b1f907,37,3.0,6.0,5.0,5.0,1.0,5.0,4.0,7.0,6.0,5.0,2.0,7.0,3.0,1.0,
59,05/02/2024 12:08PM,05/02/2024 12:09PM,05/02/2024 11:51AM - 05/02/2024 12:11PM,54.489,662c23eb984be5dc85b1f907,37,3.0,6.0,4.0,4.0,4.0,6.0,5.0,6.0,6.0,3.0,5.0,5.0,3.0,4.0,
60,05/02/2024 01:59PM,05/02/2024 02:01PM,05/02/2024 01:53PM - 05/02/2024 02:13PM,102.748,662c23eb984be5dc85b1f907,37,2.0,5.0,3.0,5.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,
61,05/02/2024 03:40PM,05/02/2024 03:41PM,05/02/2024 03:35PM - 05/02/2024 03:55PM,43.423,662c23eb984be5dc85b1f907,37,3.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,5.0,
62,05/02/2024 07:23PM,05/02/2024 07:24PM,05/02/2024 07:17PM - 05/02/2024 07:37PM,54.602,662c23eb984be5dc85b1f907,37,3.0,6.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,3.0,5.0,1.0,3.0,5.0,
63,05/03/2024 09:40AM,05/03/2024 09:41AM,05/03/2024 09:36AM - 05/03/2024 09:56AM,49.142,662c23eb984be5dc85b1f907,37,4.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0,4.0,7.0,4.0,3.0,5.0,
64,05/03/2024 02:38PM,05/03/2024 02:39PM,05/03/2024 02:38PM - 05/03/2024 02:58PM,52.406,662c23eb984be5dc85b1f907,37,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,
65,05/03/2024 04:28PM,05/03/2024 04:28PM,05/03/2024 04:25PM - 05/03/2024 04:45PM,39.639,662c23eb984be5dc85b1f907,37,4.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,6.0,2.0,5.0,
66,05/03/2024 05:57PM,05/03/2024 05:58PM,05/03/2024 05:45PM - 05/03/2024 06:05PM,35.844,662c23eb984be5dc85b1f907,37,3.0,5.0,3.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,
67,05/03/2024 07:59PM,05/03/2024 08:00PM,05/03/2024 07:47PM - 05/03/2024 08:07PM,39.841,662c23eb984be5dc85b1f907,37,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,
68,04/27/2024 09:08AM,04/27/2024 09:09AM,04/27/2024 09:08AM - 04/27/2024 09:28AM,77.802,662c1a3e984be5dc85b1ac7c,38,3.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,
69,04/27/2024 11:11AM,04/27/2024 11:12AM,04/27/2024 11:00AM - 04/27/2024 11:20AM,66.733,662c1a3e984be5dc85b1ac7c,38,2.0,3.0,5.0,4.0,3.0,4.0,4.0,6.0,5.0,4.0,4.0,5.0,3.0,2.0,
72,04/27/2024 06:45PM,04/27/2024 06:46PM,04/27/2024 06:34PM - 04/27/2024 06:54PM,67.975,662c1a3e984be5dc85b1ac7c,38,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,4.0,3.0,2.0,
73,04/27/2024 07:54PM,04/27/2024 07:54PM,04/27/2024 07:51PM - 04/27/2024 08:11PM,53.763,662c1a3e984be5dc85b1ac7c,38,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0,1.0,
75,04/28/2024 11:40AM,04/28/2024 11:41AM,04/28/2024 11:33AM - 04/28/2024 11:53AM,53.258,662c1a3e984be5dc85b1ac7c,38,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,5.0,
76,04/28/2024 02:39PM,04/28/2024 02:40PM,04/28/2024 02:39PM - 04/28/2024 02:59PM,57.279,662c1a3e984be5dc85b1ac7c,38,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,6.0,
77,04/28/2024 04:34PM,04/28/2024 04:35PM,04/28/2024 04:27PM - 04/28/2024 04:47PM,54.615,662c1a3e984be5dc85b1ac7c,38,2.0,3.0,2.0,5.0,3.0,6.0,6.0,5.0,3.0,4.0,2.0,6.0,3.0,2.0,
80,04/29/2024 11:04AM,04/29/2024 11:04AM,04/29/2024 11:03AM - 04/29/2024 11:23AM,50.145,662c1a3e984be5dc85b1ac7c,38,2.0,3.0,3.0,4.0,3.0,6.0,6.0,4.0,6.0,5.0,1.0,6.0,3.0,2.0,
82,04/29/2024 04:39PM,04/29/2024 04:40PM,04/29/2024 04:20PM - 04/29/2024 04:40PM,53.868,662c1a3e984be5dc85b1ac7c,38,2.0,3.0,5.0,4.0,4.0,5.0,5.0,7.0,6.0,4.0,2.0,6.0,3.0,4.0,
83,04/29/2024 06:07PM,04/29/2024 06:09PM,04/29/2024 06:06PM - 04/29/2024 06:26PM,152.626,662c1a3e984be5dc85b1ac7c,38,4.0,4.0,3.0,3.0,6.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,
84,04/30/2024 10:35AM,04/30/2024 10:36AM,04/30/2024 10:35AM - 04/30/2024 10:55AM,56.449,662c1a3e984be5dc85b1ac7c,38,2.0,5.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0,6.0,3.0,4.0,2.0,1.0,
85,04/30/2024 11:24AM,04/30/2024 11:25AM,04/30/2024 11:23AM - 04/30/2024 11:43AM,69.61,662c1a3e984be5dc85b1ac7c,38,3.0,6.0,4.0,1.0,2.0,6.0,6.0,3.0,6.0,6.0,2.0,6.0,1.0,4.0,
87,04/30/2024 03:59PM,04/30/2024 04:00PM,04/30/2024 03:59PM - 04/30/2024 04:19PM,49.791,662c1a3e984be5dc85b1ac7c,38,2.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,
91,05/01/2024 11:18AM,05/01/2024 11:19AM,05/01/2024 11:18AM - 05/01/2024 11:38AM,42.115,662c1a3e984be5dc85b1ac7c,38,2.0,4.0,5.0,3.0,3.0,6.0,6.0,5.0,3.0,5.0,2.0,6.0,3.0,2.0,
92,05/01/2024 01:42PM,05/01/2024 01:43PM,05/01/2024 01:42PM - 05/01/2024 02:02PM,51.373,662c1a3e984be5dc85b1ac7c,38,3.0,3.0,3.0,4.0,3.0,6.0,3.0,5.0,6.0,4.0,2.0,4.0,3.0,1.0,
96,05/02/2024 12:31PM,05/02/2024 12:32PM,05/02/2024 12:29PM - 05/02/2024 12:49PM,49.922,662c1a3e984be5dc85b1ac7c,38,3.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,2.0,3.0,1.0,3.0,
101,05/03/2024 09:02AM,05/03/2024 09:04AM,05/03/2024 09:01AM - 05/03/2024 09:21AM,102.024,6633d9a6d05d24da8bf2f215,39,3.0,5.0,1.0,3.0,1.0,6.0,6.0,6.0,1.0,4.0,3.0,7.0,4.0,5.0,
102,05/03/2024 12:29PM,05/03/2024 12:29PM,05/03/2024 12:19PM - 05/03/2024 12:39PM,55.521,6633d9a6d05d24da8bf2f215,39,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,
104,05/03/2024 03:13PM,05/03/2024 03:14PM,05/03/2024 03:07PM - 05/03/2024 03:27PM,56.605,6633d9a6d05d24da8bf2f215,39,2.0,1.0,6.0,1.0,6.0,5.0,7.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,
112,05/05/2024 10:26AM,05/05/2024 10:27AM,05/05/2024 10:25AM - 05/05/2024 10:45AM,78.903,6633d9a6d05d24da8bf2f215,39,5.0,5.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,5.0,
113,05/05/2024 12:29PM,05/05/2024 12:30PM,05/05/2024 12:15PM - 05/05/2024 12:35PM,79.225,6633d9a6d05d24da8bf2f215,39,3.0,1.0,6.0,3.0,5.0,7.0,4.0,2.0,6.0,4.0,1.0,4.0,3.0,2.0,
117,05/06/2024 12:27PM,05/06/2024 12:28PM,05/06/2024 12:20PM - 05/06/2024 12:40PM,44.247,6633d9a6d05d24da8bf2f215,39,3.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,5.0,4.0,5.0,
119,05/06/2024 03:57PM,05/06/2024 03:58PM,05/06/2024 03:55PM - 05/06/2024 04:15PM,41.956,6633d9a6d05d24da8bf2f215,39,2.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,5.0,
122,05/07/2024 10:34AM,05/07/2024 10:35AM,05/07/2024 10:33AM - 05/07/2024 10:53AM,40.354,6633d9a6d05d24da8bf2f215,39,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,
126,05/07/2024 08:20PM,05/07/2024 08:21PM,05/07/2024 08:19PM - 05/07/2024 08:39PM,50.59,6633d9a6d05d24da8bf2f215,39,2.0,1.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,
132,05/08/2024 08:19PM,05/08/2024 08:20PM,05/08/2024 08:18PM - 05/08/2024 08:38PM,57.06,6633d9a6d05d24da8bf2f215,39,2.0,2.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,2.0,5.0,
134,05/09/2024 11:20AM,05/09/2024 11:21AM,05/09/2024 11:19AM - 05/09/2024 11:39AM,60.962,6633d9a6d05d24da8bf2f215,39,4.0,5.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,
136,05/09/2024 04:24PM,05/09/2024 04:25PM,05/09/2024 04:19PM - 05/09/2024 04:39PM,50.294,6633d9a6d05d24da8bf2f215,39,5.0,7.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,5.0,
137,05/09/2024 06:22PM,05/09/2024 06:23PM,05/09/2024 06:21PM - 05/09/2024 06:41PM,42.254,6633d9a6d05d24da8bf2f215,39,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,
138,05/09/2024 07:33PM,05/09/2024 07:34PM,05/09/2024 07:26PM - 05/09/2024 07:46PM,45.357,6633d9a6d05d24da8bf2f215,39,2.0,6.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0,3.0,7.0,3.0,4.0,
139,05/03/2024 09:26AM,05/03/2024 09:27AM,05/03/2024 09:25AM - 05/03/2024 09:45AM,85.242,663413e56d0b687e4df00efd,40,2.0,1.0,3.0,1.0,4.0,4.0,2.0,4.0,5.0,2.0,5.0,7.0,3.0,2.0,
141,05/03/2024 03:04PM,05/03/2024 03:05PM,05/03/2024 03:02PM - 05/03/2024 03:22PM,74.71,663413e56d0b687e4df00efd,40,2.0,1.0,2.0,5.0,1.0,7.0,6.0,6.0,6.0,2.0,3.0,6.0,3.0,2.0,
148,05/04/2024 06:09PM,05/04/2024 06:11PM,05/04/2024 06:07PM - 05/04/2024 06:27PM,112.305,663413e56d0b687e4df00efd,40,2.0,4.0,5.0,2.0,1.0,1.0,2.0,7.0,5.0,2.0,5.0,7.0,4.0,5.0,
160,05/07/2024 09:27AM,05/07/2024 09:28AM,05/07/2024 09:26AM - 05/07/2024 09:46AM,44.046,663413e56d0b687e4df00efd,40,2.0,1.0,1.0,1.0,1.0,5.0,6.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,
174,05/09/2024 02:22PM,05/09/2024 02:23PM,05/09/2024 02:21PM - 05/09/2024 02:41PM,42.189,663413e56d0b687e4df00efd,40,3.0,5.0,2.0,2.0,3.0,7.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,5.0,
185,05/07/2024 10:28AM,05/07/2024 10:29AM,05/07/2024 10:27AM - 05/07/2024 10:47AM,90.104,66394fd7442523ed8761623e,42,2.0,1.0,6.0,6.0,5.0,7.0,6.0,4.0,5.0,5.0,6.0,4.0,3.0,2.0,
187,05/07/2024 01:44PM,05/07/2024 01:45PM,05/07/2024 01:43PM - 05/07/2024 02:03PM,64.474,66394fd7442523ed8761623e,42,2.0,1.0,3.0,2.0,3.0,7.0,7.0,5.0,7.0,7.0,2.0,4.0,3.0,2.0,
189,05/07/2024 05:53PM,05/07/2024 05:59PM,05/07/2024 05:52PM - 05/07/2024 06:12PM,352.871,66394fd7442523ed8761623e,42,3.0,1.0,2.0,2.0,3.0,7.0,7.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,
195,05/08/2024 08:19PM,05/08/2024 08:24PM,05/08/2024 08:00PM - 05/08/2024 08:20PM,344.327,66394fd7442523ed8761623e,42,2.0,7.0,4.0,7.0,7.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,
700,05/15/2024 04:38PM,05/15/2024 04:40PM,05/15/2024 04:32PM - 05/15/2024 04:52PM,113.837,6643742f442523ed879005d1,63,2.0,1.0,3.0,1.0,1.0,7.0,7.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,
703,05/16/2024 11:22AM,05/16/2024 11:24AM,05/16/2024 11:19AM - 05/16/2024 11:39AM,79.812,6643742f442523ed879005d1,63,3.0,1.0,6.0,3.0,4.0,7.0,7.0,3.0,7.0,6.0,1.0,4.0,2.0,2.0,
704,05/16/2024 01:07PM,05/16/2024 01:08PM,05/16/2024 01:00PM - 05/16/2024 01:20PM,62.117,6643742f442523ed879005d1,63,4.0,1.0,7.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,2.0,6.0,3.0,5.0,
705,05/16/2024 03:38PM,05/16/2024 03:40PM,05/16/2024 03:35PM - 05/16/2024 03:55PM,144.828,6643742f442523ed879005d1,63,3.0,1.0,3.0,1.0,2.0,7.0,7.0,4.0,1.0,3.0,1.0,3.0,2.0,5.0,
707,05/16/2024 07:25PM,05/16/2024 07:25PM,05/16/2024 07:24PM - 05/16/2024 07:44PM,48.419,6643742f442523ed879005d1,63,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,
708,05/17/2024 10:43AM,05/17/2024 10:44AM,05/17/2024 10:28AM - 05/17/2024 10:48AM,56.846,6643742f442523ed879005d1,63,3.0,1.0,3.0,1.0,1.0,4.0,5.0,4.0,2.0,3.0,1.0,4.0,2.0,5.0,
709,05/17/2024 01:30PM,05/17/2024 01:32PM,05/17/2024 01:25PM - 05/17/2024 01:45PM,75.424,6643742f442523ed879005d1,63,3.0,1.0,3.0,7.0,7.0,7.0,7.0,4.0,3.0,7.0,1.0,4.0,2.0,5.0,
712,05/18/2024 09:39AM,05/18/2024 09:40AM,05/18/2024 09:38AM - 05/18/2024 09:58AM,74.387,6643742f442523ed879005d1,63,4.0,1.0,6.0,2.0,3.0,4.0,3.0,5.0,1.0,3.0,1.0,3.0,4.0,3.0,
721,05/19/2024 04:21PM,05/19/2024 04:21PM,05/19/2024 04:19PM - 05/19/2024 04:39PM,50.539,6643742f442523ed879005d1,63,4.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,
722,05/20/2024 10:36AM,05/20/2024 10:37AM,05/20/2024 10:32AM - 05/20/2024 10:52AM,54.829,6643742f442523ed879005d1,63,2.0,1.0,1.0,1.0,1.0,7.0,7.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,
723,05/20/2024 02:30PM,05/20/2024 02:31PM,05/20/2024 02:28PM - 05/20/2024 02:48PM,49.288,6643742f442523ed879005d1,63,3.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,
726,05/21/2024 11:11AM,05/21/2024 11:12AM,05/21/2024 11:10AM - 05/21/2024 11:30AM,47.532,6643742f442523ed879005d1,63,4.0,1.0,2.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,5.0,
727,05/21/2024 01:44PM,05/21/2024 01:45PM,05/21/2024 01:38PM - 05/21/2024 01:58PM,41.333,6643742f442523ed879005d1,63,3.0,1.0,3.0,1.0,3.0,3.0,3.0,6.0,1.0,3.0,2.0,4.0,4.0,5.0,
729,05/15/2024 02:30PM,05/15/2024 02:32PM,05/15/2024 02:24PM - 05/15/2024 02:44PM,69.614,66402d02390031c6215596a5,65,3.0,2.0,7.0,4.0,3.0,5.0,2.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,
731,05/16/2024 10:17AM,05/16/2024 10:18AM,05/16/2024 10:16AM - 05/16/2024 10:36AM,59.291,66402d02390031c6215596a5,65,2.0,2.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,
733,05/16/2024 02:20PM,05/16/2024 02:21PM,05/16/2024 02:06PM - 05/16/2024 02:26PM,44.917,66402d02390031c6215596a5,65,5.0,3.0,6.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,5.0,
734,05/16/2024 03:25PM,05/16/2024 03:26PM,05/16/2024 03:14PM - 05/16/2024 03:34PM,39.566,66402d02390031c6215596a5,65,4.0,3.0,6.0,4.0,3.0,6.0,7.0,3.0,5.0,3.0,2.0,5.0,3.0,2.0,
736,05/16/2024 07:54PM,05/16/2024 07:55PM,05/16/2024 07:53PM - 05/16/2024 08:13PM,63.079,66402d02390031c6215596a5,65,2.0,1.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,
737,05/17/2024 11:32AM,05/17/2024 11:33AM,05/17/2024 11:31AM - 05/17/2024 11:51AM,59.584,66402d02390031c6215596a5,65,2.0,2.0,6.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,
738,05/17/2024 02:08PM,05/17/2024 02:08PM,05/17/2024 02:07PM - 05/17/2024 02:27PM,44.504,66402d02390031c6215596a5,65,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,1.0,
743,05/18/2024 03:30PM,05/18/2024 03:30PM,05/18/2024 03:19PM - 05/18/2024 03:39PM,31.591,66402d02390031c6215596a5,65,2.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,
745,05/18/2024 08:25PM,05/18/2024 08:25PM,05/18/2024 08:24PM - 05/18/2024 08:44PM,45.29,66402d02390031c6215596a5,65,3.0,3.0,7.0,5.0,3.0,6.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,
746,05/19/2024 10:13AM,05/19/2024 10:14AM,05/19/2024 09:56AM - 05/19/2024 10:16AM,44.833,66402d02390031c6215596a5,65,3.0,3.0,6.0,3.0,3.0,7.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,2.0,
749,05/19/2024 03:29PM,05/19/2024 03:29PM,05/19/2024 03:28PM - 05/19/2024 03:48PM,37.147,66402d02390031c6215596a5,65,2.0,3.0,5.0,4.0,3.0,7.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,
750,05/19/2024 05:29PM,05/19/2024 05:29PM,05/19/2024 05:28PM - 05/19/2024 05:48PM,31.063,66402d02390031c6215596a5,65,2.0,3.0,5.0,5.0,3.0,5.0,2.0,1.0,3.0,5.0,1.0,4.0,3.0,2.0,
751,05/19/2024 07:49PM,05/19/2024 07:49PM,05/19/2024 07:38PM - 05/19/2024 07:58PM,31.611,66402d02390031c6215596a5,65,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,
752,05/20/2024 11:10AM,05/20/2024 11:11AM,05/20/2024 11:09AM - 05/20/2024 11:29AM,35.329,66402d02390031c6215596a5,65,2.0,1.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,
753,05/20/2024 05:53PM,05/20/2024 05:53PM,05/20/2024 05:52PM - 05/20/2024 06:12PM,39.318,66402d02390031c6215596a5,65,4.0,3.0,6.0,2.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,6.0,2.0,3.0,
754,05/20/2024 08:05PM,05/20/2024 08:06PM,05/20/2024 08:01PM - 05/20/2024 08:21PM,37.646,66402d02390031c6215596a5,65,2.0,6.0,5.0,7.0,3.0,5.0,5.0,3.0,6.0,4.0,1.0,5.0,3.0,1.0,
756,05/21/2024 11:15AM,05/21/2024 11:15AM,05/21/2024 11:14AM - 05/21/2024 11:34AM,33.53,66402d02390031c6215596a5,65,2.0,3.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,
759,05/21/2024 06:36PM,05/21/2024 06:36PM,05/21/2024 06:35PM - 05/21/2024 06:55PM,35.397,66402d02390031c6215596a5,65,3.0,2.0,1.0,4.0,3.0,5.0,6.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,
761,05/16/2024 10:04AM,05/16/2024 10:05AM,05/16/2024 10:03AM - 05/16/2024 10:23AM,96.042,6643ea96442523ed8792f72b,66,4.0,7.0,4.0,1.0,1.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,4.0,2.0,
762,05/16/2024 11:37AM,05/16/2024 11:41AM,05/16/2024 11:36AM - 05/16/2024 11:56AM,248.363,6643ea96442523ed8792f72b,66,4.0,7.0,7.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,3.0,4.0,3.0,2.0,
763,05/16/2024 01:15PM,05/16/2024 01:18PM,05/16/2024 01:14PM - 05/16/2024 01:34PM,206.037,6643ea96442523ed8792f72b,66,3.0,7.0,5.0,3.0,1.0,7.0,7.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,
