Hypothesis,Parameter,Coef,p-value,CI_lower,CI_upper
3a,const,8.584992393911648,0.0001802875259152637,4.185635807885724,12.984348979937572
3a,emotVal,-0.608406289939003,0.38394505467921725,-1.9866864097329269,0.7698738298549208
3a,import,-0.24882363786929879,0.6811755099466508,-1.444759943846697,0.9471126681080995
3a,oftMind,0.9443824988859479,0.0483250290723413,0.007061854895776376,1.8817031428761195
3a,concAbs,-0.09606754589265687,0.8375721325142867,-1.0217136635168242,0.8295785717315105
3a,tempOr_1,0.8951692825535386,0.63643820438558,-2.84417223262152,4.6345107977285975
3a,tempOr_2,4.837540382068153,8.53994037086288e-06,2.77679376798433,6.898286996151976
3a,tempOr_3,2.852282729289961,0.016077293115801587,0.5391776273212296,5.165387831258693
3b,const,16.309209745870263,1.829858526700693e-06,9.865802209986596,22.752617281753928
3b,intent,0.4842611999301021,0.25190638249791436,-0.3484115065997324,1.3169339064599366
3b,oftMind,1.1607947188125767,0.027136803722963235,0.13329619937771242,2.188293238247441
3b,import,-0.32781827475522085,0.6216440207313328,-1.6392466675043305,0.9836101179938889
3b,concAbs,0.1444119603746965,0.7894936094997855,-0.9239357255396718,1.2127596462890649
3b,emotVal,-1.6935920947512677,0.02940563355710685,-3.2148425366334443,-0.1723416528690913
3c,const,8.575672856251842,6.234534539197246e-05,4.481202100838634,12.67014361166505
3c,emotVal,-0.08183455001116274,0.8973842671348489,-1.3351988515553737,1.171529751533048
3c,concAbs,-0.6728301241513558,0.11772091868387077,-1.518172023803631,0.17251177550091934
3c,import,0.6045887031987102,0.23435021471241874,-0.3967549566659211,1.6059323630633413
3c,tempOr_1,2.0110242140764187,0.2557777210835879,-1.4753313751805397,5.497379803333377
3c,tempOr_2,4.148375832656315,3.488419853757445e-05,2.2367984435808115,6.059953221731819
3c,tempOr_3,2.4162728095190964,0.028505315274595898,0.2582619714938943,4.5742836475442985
3d,const,4.4450868323177115,0.022450500733843047,0.6390990378221861,8.251074626813237
3d,emotVal,-0.0633366331651199,0.9092266303347183,-1.1606844797346882,1.0340112134044483
3d,import,1.3825073439688202,0.006067378431792737,0.4025199231762483,2.3624947647613923
3d,real,-1.297226768891535,0.003473474456912716,-2.1588706809352085,-0.4355828568478616
3d,inSpeech,0.7587180202496577,0.011383454966780572,0.1741949242078914,1.343241116291424
3d,tempOr_1,0.6120329282385903,0.6920933086051801,-2.4399536015977086,3.664019458074889
3d,tempOr_2,2.3405456126924715,0.007020990393253641,0.6508341054855242,4.030257119899419
3d,tempOr_3,1.492508291386645,0.13434972822319416,-0.46776865795946265,3.4527852407327524
3e,const,10.306301999564827,2.9920587669882217e-06,6.137900178815118,14.474703820314534
3e,emotVal,-0.4268314671807969,0.35050760314945906,-1.328273055433482,0.4746101210718884
3e,struct,1.71799058608639,9.202421126439287e-07,1.059736318866712,2.3762448533060683
3e,real,-0.554889432352987,0.262443154175688,-1.530443343534436,0.42066447882846203
3e,concAbs,-0.6662475777909683,0.16677028728784632,-1.6143553071972887,0.28186015161535216
3f,const,8.463422513602445,0.0005133337986437655,3.7671034333026387,13.159741593902252
3f,emotVal,-0.15897855270774053,0.7798605486268271,-1.2822685671563843,0.9643114617409032
3f,import,0.6280180913375456,0.16653229400256192,-0.26518162886343555,1.5212178115385266
3f,concAbs,-1.1923525605911909,0.0019199324275116644,-1.9368742480903836,-0.4478308730919982
3f,visImag,1.0629570946433553,0.00044629528314308795,0.4797160033669856,1.646198185919725
3g,const,54.00670940142769,8.34047202380931e-06,31.0042398550356,77.00917894781978
3g,visImag,7.27321796207177,0.001638702615604415,2.800672061524234,11.745763862619306
3g,inSpeech,5.302691168251137,0.030883258085873694,0.49571422182348446,10.10966811467879
